"","time","open","high","low","close","volume","amount","trades","volumsOFbuy","amountOFbuy","changeDir","fluct_pct"
"540",2019-06-25,11056.59,11850,11026,11820.86,61276.686648,697773986.269186,597798,32838.335566,373915513.282313,"up",7.47
"541",2019-06-26,11821.28,13970,11741,13093.8,155930.147386,1996178374.59449,1355074,76046.064206,973444882.217562,"up",18.98
"542",2019-06-27,13098.38,13478.04,10525.1,11329.99,173894.820889,2058443849.314,1357233,80442.119916,951733425.608781,"down",28.06
"543",2019-06-28,11329.99,12480,10982.88,12400.63,95795.203964,1129888341.32128,883116,48847.107883,576552254.919601,"up",13.63
"544",2019-06-29,12407.06,12441.54,11475.02,11903.13,69642.074157,829011822.236532,732073,36061.459369,429403585.746787,"down",8.42
"545",2019-06-30,11903.13,12180,10766.03,10854.1,84512.530443,971151050.900582,711267,42697.44,492370966.315921,"down",13.13
"546",2019-07-01,10854.1,11282.28,10030,10624.93,90962.268271,972343281.860355,757458,44210.988365,473020897.411836,"down",12.49
"547",2019-07-02,10624.9,10938.75,9727,10842.85,109561.038728,1128353804.80079,870148,54998.503606,566863180.550923,"up",12.46
"548",2019-07-03,10844.98,11991.89,10841.04,11940,96815.90029,1097804642.75777,814754,49613.616744,561585673.865191,"up",10.62
"549",2019-07-04,11940,12000,11055,11145.67,66512.221892,775818897.389485,643867,33626.851862,392411806.433401,"down",8.55
"550",2019-07-05,11145.67,11406.83,10796.44,10970.73,63534.350582,705853649.02649,564857,32306.914259,359142813.988107,"down",5.65
"551",2019-07-06,10982.41,11665,10964.51,11256.49,51469.496331,585001376.155429,470692,25601.989482,291096287.944003,"up",6.39
"552",2019-07-07,11256.45,11538,11094.37,11406.24,38884.795599,439439052.945542,366769,22449.30112,253820654.341232,"up",4
"553",2019-07-08,11410,12338.03,11220,12238.6,52182.367215,618530684.432552,507860,27740.09749,328709707.948033,"up",9.96
"554",2019-07-09,12238.6,12794.73,12068,12543.41,78442.130343,975986802.030035,660273,40993.911974,508388352.360496,"up",6.02
"555",2019-07-10,12548.51,13147.08,11569,12108.37,109246.044997,1369749939.9675,899391,46964.760907,588798251.124835,"down",13.64
"556",2019-07-11,12108.11,12111.73,11000,11342.89,87506.461058,1007356802.21826,760057,43714.15617,503407388.683654,"down",10.11
"557",2019-07-12,11342.88,11885,11073,11757.22,56321.858281,649824820.765481,537561,30291.119356,349517968.903873,"up",7.33
"558",2019-07-13,11757.22,11799.98,10830,11355.76,54245.594548,614050007.991945,510305,26460.058236,299649536.394354,"down",8.96
"559",2019-07-14,11355.78,11452,10103,10174.18,72517.579236,777646151.602947,649043,35853.69216,384643236.235626,"down",13.35
"560",2019-07-15,10174.18,11100,9860,10838.72,81922.426332,851028723.703186,732206,41714.189655,433767828.494573,"up",12.58
"561",2019-07-16,10833.78,11028,9350.01,9439.59,97219.443413,982462166.693229,796646,47295.944048,478852520.003562,"down",17.95
"562",2019-07-17,9430.17,9957,9060,9667.92,84942.672717,809555508.347679,757742,43073.115146,410754257.707386,"up",9.9
"563",2019-07-18,9668.86,10788,9252,10627.16,80283.310252,807822745.185433,734821,42103.344745,423743857.794546,"up",16.6
"564",2019-07-19,10628.64,10769.71,10121.84,10504.29,56546.932133,589931612.341986,567735,29070.357474,303508985.606864,"down",6.4
"565",2019-07-20,10505.78,11068.99,10350,10740.23,47331.899848,505569016.350083,461660,25003.62155,267188169.939592,"up",6.95
"566",2019-07-21,10740.27,10817.9,10288,10589.45,38834.287935,409661485.998565,395452,20345.527384,214610701.202686,"down",5.15
"567",2019-07-22,10590.15,10683.16,10100,10340.31,40467.954839,421016379.362088,389565,19335.4119,201324461.22845,"down",5.77
"568",2019-07-23,10343.08,10343.97,9822,9864.91,47624.37071,478441909.405057,448147,24082.309129,241965620.202666,"down",5.31
"569",2019-07-24,9864.78,9937,9525,9763.28,43475.380377,422534162.145712,424762,21963.773537,213526693.388153,"down",4.33
"570",2019-07-25,9763.4,10175,9720.03,9879.87,37873.354728,378938450.081767,368176,19308.011426,193241603.01232,"up",4.68
"571",2019-07-26,9882.15,9889.98,9637,9824,27167.463217,265108103.133921,299935,14006.629434,136688126.953948,"down",2.63
"572",2019-07-27,9824,10188.66,9333,9476.52,43809.778301,424932724.968732,401418,21428.052318,208090741.110424,"down",9.17
"573",2019-07-28,9478.92,9594.99,9165,9541.54,29401.022937,278537286.134813,271327,17116.433132,162267204.15846,"up",4.69
"574",2019-07-29,9541.54,9729,9395,9507.64,29021.937411,277497756.768417,294468,16075.166971,153791418.103292,"down",3.56
"575",2019-07-30,9509.07,9714.28,9402,9574.21,32536.368834,310867928.287939,283961,17211.009653,164621319.04419,"up",3.32
"576",2019-07-31,9575,10109.8,9555,10080.53,39515.35456,389690761.444661,364212,21235.609604,209506872.509218,"up",5.81
"577",2019-08-01,10080.53,10467.86,9863.46,10374.99,41727.637028,422156523.669008,378062,22244.919467,225207082.394267,"up",6.13
"578",2019-08-02,10375,10670,10281.35,10523.75,42990.444221,450323284.15076,431322,22206.135093,232638457.606963,"up",3.78
"579",2019-08-03,10523.75,10904.77,10497.93,10816.86,33802.318824,363852799.87178,348893,18132.529707,195125820.479465,"up",3.88
"580",2019-08-04,10816.86,11040,10552,10929.23,39924.745141,431793873.423298,353721,22066.368257,238959952.235161,"up",4.62
"581",2019-08-05,10929.99,11937.52,10927.8,11828.8,65153.673713,757976547.217046,622610,33530.07066,389969213.398918,"up",9.24
"582",2019-08-06,11830,12330.7,11226.7,11481.69,76705.389875,904119081.615713,625827,37522.116972,442937542.040716,"down",9.83
"583",2019-08-07,11481.69,12141.17,11382.84,11975.03,69173.390353,814597979.050504,592916,36357.225918,428496665.570065,"up",6.66
"584",2019-08-08,11975.04,12060,11521,11999.77,51207.257174,604389131.062836,473584,27463.200763,324785966.126596,"up",4.68
"585",2019-08-09,11994.17,12045.68,11700,11879.99,39427.152588,467011047.941428,410902,20074.421911,238009297.579604,"down",2.95
"586",2019-08-10,11879.98,11985,11270,11309.31,42633.087048,492217964.490556,399237,17111.125076,197997879.109114,"down",6.34
"587",2019-08-11,11309.24,11600,11112.11,11549.97,26772.90691,304862403.351449,306234,15007.4382,171032610.991817,"up",4.39
"588",2019-08-12,11539.08,11577.89,11235.32,11396.08,17568.227075,200325471.604141,255966,9200.430879,104948602.152778,"down",3.05
"589",2019-08-13,11398.35,11456.16,10788.45,10892.71,33234.72968,368994475.546112,337834,13483.5587,149693332.126831,"down",6.19
"590",2019-08-14,10893.36,10897.48,9928.1,10050.37,54451.847499,567724729.105906,534507,26080.631381,271971667.550982,"down",9.76
